(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: add_water
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: add_water
(aabounak)Running: Start_machine [ exec-time = 9.5367431640625e-07 s ]
(aabounak)Running: Boil_water [ exec-time = 5.9604644775390625e-06 s ]
(aabounak)Running: Make_coffee [ exec-time = 2.042931318283081 s ]
(aabounak)Running: Start_machine [ exec-time = 1.6689300537109375e-06 s ]
(aabounak)Running: Boil_water [ exec-time = 5.245208740234375e-06 s ]
(aabounak)Running: Make_coffee [ exec-time = 2.0641307830810547 s ]
(aabounak)Running: Start_machine [ exec-time = 9.5367431640625e-07 s ]
(aabounak)Running: Boil_water [ exec-time = 4.76837158203125e-06 s ]
(aabounak)Running: Make_coffee [ exec-time = 2.0667331218719482 s ]
(aabounak)Running: Start_machine [ exec-time = 2.1457672119140625e-06 s ]
(aabounak)Running: Boil_water [ exec-time = 5.0067901611328125e-06 s ]
(aabounak)Running: Make_coffee [ exec-time = 2.0509438514709473 s ]
(aabounak)Running: Start_machine [ exec-time = 1.71661376953125e-05 s ]
(aabounak)Running: Make_coffee [ exec-time = 0.0002491474151611328 s ]
(aabounak)Running: Start_machine [ exec-time = 1.0013580322265625e-05 s ]
(aabounak)Running: Make_coffee [ exec-time = 0.0001690387725830078 s ]
(aabounak)Running: Add_water [ exec-time = 1.000213861465454 s ]
(aabounak)Running: start_machine [ exec-time = 9.5367431640625e-07 s ]
(aabounak)Running: boil_water [ exec-time = 3.0994415283203125e-06 s ]
(aabounak)Running: make_coffee [ exec-time = 2.045114755630493 s ]
(aabounak)Running: start_machine [ exec-time = 2.1457672119140625e-06 s ]
(aabounak)Running: Make Coffee     [ exec-time = 2.0524 s ]
(aabounak)Running: Start Machine   [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water      [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee     [ exec-time = 2.0501 s ]
(aabounak)Running: Start Machine   [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water      [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee     [ exec-time = 2.0554 s ]
(aabounak)Running: Start Machine   [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee     [ exec-time = 0.0002 ms ]
(aabounak)Running: Start Machine   [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee     [ exec-time = 0.0002 ms ]
(aabounak)Running: Add Water       [ exec-time = 5.0051 s ]



(aabounak)Running: Start Machine   [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water      [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee     [ exec-time = 2.0440 s ]
(aabounak)Running: Start Machine   [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water      [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee     [ exec-time = 2.0445 s ]
(aabounak)Running: Start Machine   [ exec-time = 0.0000 ms ]
(aabounak)Running: Start Machine   [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water      [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee     [ exec-time = 2.0553 s ]
(aabounak)Running: Start Machine   [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water      [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee     [ exec-time = 2.0396 s ]
(aabounak)Running: Start Machine   [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water      [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee     [ exec-time = 2.0508 s ]
(aabounak)Running: Start Machine   [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water      [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee     [ exec-time = 2.0449 s ]
(aabounak)Running: Start Machine   [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee     [ exec-time = 0.0002 ms ]
(aabounak)Running: Start Machine   [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee     [ exec-time = 0.0001 ms ]
(aabounak)Running: Add Water       [ exec-time = 1.0051 s ]
